Elements,Fractions,aflow__ael_bulk_modulus_vrh,aflow__ael_bulk_modulus_vrh UNC,Prop0 Loss,decomposition_energy,decomposition_energy UNC,Prop1 Loss
"['Ca', 'Al', 'Si', 'O']",[0.24999978 0.24999978 0.24999978 0.24999978],78.74168395996094,3.9436745643615723,100000.4609375,0.4724087417125702,0.78632652759552,100001.765625
"['Ca', 'Al', 'Si', 'O']",[0.26921412 0.243595   0.243595   0.243595  ],77.07595825195312,3.867643117904663,100000.484375,0.3597191572189331,0.7126542329788208,100001.28125
"['Ca', 'Al', 'Si', 'O']",[0.28919232 0.23701587 0.23680049 0.23699035],75.46673583984375,3.799898862838745,100000.5078125,0.2310706526041031,0.5721848011016846,100000.734375
"['Ca', 'Al', 'Si', 'O']",[0.31013477 0.23008719 0.22974566 0.23003142],73.84188842773438,3.7480862140655518,100000.5390625,0.11649855971336365,0.3635432720184326,100000.2421875
"['Ca', 'Al', 'Si', 'O']",[0.33163682 0.22297326 0.2225453  0.22284362],72.18943786621094,3.719315767288208,100000.5625,0.047665923833847046,0.18766799569129944,99999.9453125
"['Ca', 'Al', 'Si', 'O']",[0.3522732  0.21651842 0.21549752 0.21570995],70.59344482421875,3.7171711921691895,100000.5859375,0.02045031264424324,0.1053069531917572,99999.828125
"['Ca', 'Al', 'Si', 'O']",[0.37120736 0.21084096 0.20886043 0.20909032],69.0955581665039,3.739276647567749,100000.609375,0.007340550422668457,0.05947957560420036,99999.7734375
"['Ca', 'Al', 'Si', 'O']",[0.38821355 0.20566973 0.20278141 0.20333429],67.7376937866211,3.785142183303833,100000.625,0.003325939178466797,0.03476317599415779,99999.7578125
"['Ca', 'Al', 'Si', 'O']",[0.4032554  0.20101061 0.19728303 0.19844991],66.53118896484375,3.845001697540283,100000.6484375,0.0026161037385463715,0.024687236174941063,99999.75
"['Ca', 'Al', 'Si', 'O']",[0.41647112 0.19686209 0.19231765 0.19434816],65.4655532836914,3.9108972549438477,100000.6640625,0.002271164208650589,0.0198284350335598,99999.75
"['Ca', 'Al', 'Si', 'O']",[0.42804536 0.1932045  0.18783258 0.19091652],64.530029296875,3.9713997840881348,100000.671875,0.0021667741239070892,0.01723344810307026,99999.75
"['Ca', 'Al', 'Si', 'O']",[0.43811676 0.19001521 0.1837879  0.18807918],63.7230110168457,4.027392864227295,100000.6875,0.0024461522698402405,0.01579565741121769,99999.75
"['Ca', 'Al', 'Si', 'O']",[0.44680592 0.1872749  0.18014203 0.1857761 ],63.0360107421875,4.078728199005127,100000.6953125,0.0027275606989860535,0.01497948169708252,99999.75
"['Ca', 'Al', 'Si', 'O']",[0.45427346 0.18492785 0.17685463 0.18394312],62.45801544189453,4.124190807342529,100000.703125,0.002983231097459793,0.014547714032232761,99999.7578125
"['Ca', 'Al', 'Si', 'O']",[0.4606315  0.18293962 0.17389198 0.18253593],61.97887420654297,4.1630859375,100000.7109375,0.0032685771584510803,0.014355429448187351,99999.7578125
"['Ca', 'Al', 'Si', 'O']",[0.46597844 0.18128575 0.17122403 0.18151075],61.589691162109375,4.196452617645264,100000.71875,0.003551095724105835,0.014279451221227646,99999.7578125
"['Ca', 'Al', 'Si', 'O']",[0.4704088  0.1799377  0.16882116 0.18083136],61.283714294433594,4.224705696105957,100000.7265625,0.003811784088611603,0.014259058982133865,99999.7578125
"['Ca', 'Al', 'Si', 'O']",[0.47400767 0.17886983 0.16665557 0.18046595],61.04548645019531,4.24813175201416,100000.7265625,0.00401708111166954,0.014268893748521805,99999.7578125
"['Ca', 'Al', 'Si', 'O']",[0.47685337 0.17805152 0.16470225 0.18039192],60.863189697265625,4.267821788787842,100000.7265625,0.004183486104011536,0.014306040480732918,99999.7578125
"['Ca', 'Al', 'Si', 'O']",[0.47900096 0.1774652  0.16293958 0.18059331],60.736454010009766,4.284100532531738,100000.734375,0.004317838698625565,0.01435001939535141,99999.7578125
"['Ca', 'Al', 'Si', 'O']",[0.4805126  0.17709005 0.16134639 0.18105002],60.66220474243164,4.297470569610596,100000.734375,0.004416994750499725,0.014391561970114708,99999.7578125
"['Ca', 'Al', 'Si', 'O']",[0.48144123 0.17690766 0.15990457 0.1817456 ],60.63606262207031,4.308335304260254,100000.734375,0.004485480487346649,0.01442872267216444,99999.7578125
"['Ca', 'Al', 'Si', 'O']",[0.48183364 0.17690326 0.15859628 0.18266578],60.65413284301758,4.316901683807373,100000.734375,0.004529908299446106,0.014461591839790344,99999.7578125
"['Ca', 'Al', 'Si', 'O']",[0.48173264 0.1770625  0.15740685 0.18379708],60.71318435668945,4.323404788970947,100000.734375,0.00455324724316597,0.014489329420030117,99999.7578125
"['Ca', 'Al', 'Si', 'O']",[0.48117876 0.17737128 0.1563229  0.18512607],60.80825424194336,4.327996730804443,100000.734375,0.004557318985462189,0.014512842521071434,99999.7578125
"['Ca', 'Al', 'Si', 'O']",[0.48021266 0.17781916 0.15533249 0.18663472],60.936100006103516,4.3308515548706055,100000.7265625,0.0045439451932907104,0.014533101581037045,99999.7578125
"['Ca', 'Al', 'Si', 'O']",[0.47886306 0.1783948  0.15442422 0.18831693],61.096134185791016,4.332193851470947,100000.7265625,0.004511833190917969,0.014550586231052876,99999.7578125
"['Ca', 'Al', 'Si', 'O']",[0.47715288 0.1790887  0.15358762 0.19016987],61.286888122558594,4.3319854736328125,100000.7265625,0.004464156925678253,0.014566178433597088,99999.7578125
"['Ca', 'Al', 'Si', 'O']",[0.4751048  0.17989303 0.15281323 0.19218796],61.50885772705078,4.330392360687256,100000.71875,0.004397597163915634,0.014579436741769314,99999.7578125
"['Ca', 'Al', 'Si', 'O']",[0.47273645 0.1807978  0.15209195 0.19437286],61.759735107421875,4.327462196350098,100000.71875,0.004310354590415955,0.01459755003452301,99999.7578125
"['Ca', 'Al', 'Si', 'O']",[0.47006544 0.1817984  0.15141478 0.19672039],62.045928955078125,4.323178291320801,100000.7109375,0.004208210855722427,0.014624624513089657,99999.7578125
"['Ca', 'Al', 'Si', 'O']",[0.46708736 0.18289113 0.15077384 0.19924666],62.3668212890625,4.318072319030762,100000.7109375,0.004090022295713425,0.014659816399216652,99999.7578125
"['Ca', 'Al', 'Si', 'O']",[0.46382084 0.1840686  0.15016186 0.2019477 ],62.71815872192383,4.312650680541992,100000.703125,0.00396612286567688,0.014707847498357296,99999.7578125
"['Ca', 'Al', 'Si', 'O']",[0.46028417 0.18532306 0.14957258 0.20481923],63.097633361816406,4.30630350112915,100000.6953125,0.0038300268352031708,0.014773358590900898,99999.7578125
"['Ca', 'Al', 'Si', 'O']",[0.45649487 0.1866477  0.14899962 0.20785688],63.50398635864258,4.299271106719971,100000.6875,0.0036944635212421417,0.014854028820991516,99999.7578125
"['Ca', 'Al', 'Si', 'O']",[0.452483   0.1880271  0.14843652 0.2110525 ],63.941043853759766,4.291998386383057,100000.6875,0.0035727843642234802,0.014961271546781063,99999.7578125
"['Ca', 'Al', 'Si', 'O']",[0.44824922 0.18945801 0.14787717 0.21441457],64.40918731689453,4.2839179039001465,100000.6796875,0.00345597043633461,0.015110619366168976,99999.7578125
"['Ca', 'Al', 'Si', 'O']",[0.44381738 0.19093065 0.14731702 0.21793397],64.90690612792969,4.275705814361572,100000.671875,0.0033621788024902344,0.01530342735350132,99999.7578125
"['Ca', 'Al', 'Si', 'O']",[0.43919522 0.19244441 0.14675145 0.22160797],65.42959594726562,4.269151210784912,100000.6640625,0.003256235271692276,0.015534314326941967,99999.7578125
"['Ca', 'Al', 'Si', 'O']",[0.4343927  0.19399443 0.14617492 0.22543702],65.97638702392578,4.262595176696777,100000.65625,0.0031560249626636505,0.01582750491797924,99999.7578125
"['Ca', 'Al', 'Si', 'O']",[0.42940843 0.1955886  0.14558113 0.22942095],66.55486297607422,4.255936622619629,100000.6484375,0.003045596182346344,0.016181834042072296,99999.7578125
"['Ca', 'Al', 'Si', 'O']",[0.4242464  0.19721974 0.14496592 0.23356694],67.1627426147461,4.249898433685303,100000.6328125,0.0029424652457237244,0.01663012057542801,99999.75
"['Ca', 'Al', 'Si', 'O']",[0.4189228  0.198878   0.14432967 0.23786867],67.79192352294922,4.245542049407959,100000.625,0.0028785765171051025,0.01719897799193859,99999.75
"['Ca', 'Al', 'Si', 'O']",[0.4134749  0.20053904 0.14366849 0.24231668],68.43882751464844,4.243075370788574,100000.6171875,0.002863846719264984,0.01789814978837967,99999.75
"['Ca', 'Al', 'Si', 'O']",[0.4079327  0.20217936 0.14297958 0.24690746],69.10591125488281,4.244174003601074,100000.609375,0.002913758158683777,0.018732663244009018,99999.75
"['Ca', 'Al', 'Si', 'O']",[0.4023351  0.20375358 0.14226162 0.25164872],69.77882385253906,4.248842239379883,100000.59375,0.002980392426252365,0.01972774602472782,99999.7578125
"['Ca', 'Al', 'Si', 'O']",[0.3966963  0.20522656 0.14151837 0.25655788],70.45682525634766,4.257087230682373,100000.5859375,0.003099784255027771,0.020925655961036682,99999.7578125
"['Ca', 'Al', 'Si', 'O']",[0.39105383 0.20657274 0.14075089 0.26162162],71.13724517822266,4.27012300491333,100000.578125,0.0032643862068653107,0.022367237135767937,99999.7578125
"['Ca', 'Al', 'Si', 'O']",[0.3854593  0.20772368 0.13996552 0.26685056],71.81443786621094,4.288687229156494,100000.5625,0.0035271793603897095,0.02406708523631096,99999.7578125
"['Ca', 'Al', 'Si', 'O']",[0.37994397 0.20864615 0.13916607 0.27224284],72.4900894165039,4.311587810516357,100000.5546875,0.003826785832643509,0.025951435789465904,99999.7578125
"['Ca', 'Al', 'Si', 'O']",[0.37453154 0.20931178 0.13835467 0.27780113],73.16661071777344,4.339746952056885,100000.546875,0.0041876547038555145,0.02800593338906765,99999.7578125
"['Ca', 'Al', 'Si', 'O']",[0.3692682  0.2096798  0.13753521 0.28351593],73.84783935546875,4.372658729553223,100000.5390625,0.0046448372304439545,0.030198821797966957,99999.7578125
"['Ca', 'Al', 'Si', 'O']",[0.3641561  0.20973925 0.13670279 0.28940102],74.536376953125,4.410238742828369,100000.5234375,0.00514838844537735,0.03255137801170349,99999.765625
"['Ca', 'Al', 'Si', 'O']",[0.35922468 0.20945813 0.13585626 0.29546005],75.22703552246094,4.4535627365112305,100000.515625,0.005696389824151993,0.03500288724899292,99999.765625
"['Ca', 'Al', 'Si', 'O']",[0.35450017 0.20881023 0.13499391 0.3016948 ],75.92338562011719,4.500573635101318,100000.5078125,0.006257355213165283,0.03757024183869362,99999.765625
"['Ca', 'Al', 'Si', 'O']",[0.3498929  0.20790358 0.13409828 0.30810437],76.63353729248047,4.551961898803711,100000.4921875,0.006750393658876419,0.040158919990062714,99999.7734375
"['Ca', 'Al', 'Si', 'O']",[0.3453727  0.20674019 0.13316494 0.31472138],77.3625717163086,4.608752250671387,100000.484375,0.007220204919576645,0.04275190085172653,99999.7734375
"['Ca', 'Al', 'Si', 'O']",[0.34089872 0.20531164 0.13218835 0.32160044],78.13054656982422,4.664975643157959,100000.46875,0.007628217339515686,0.04528168588876724,99999.7734375
"['Ca', 'Al', 'Si', 'O']",[0.33642966 0.20360146 0.13116133 0.32880676],78.95234680175781,4.728847503662109,100000.4609375,0.008002977818250656,0.0477902851998806,99999.7734375
"['Ca', 'Al', 'Si', 'O']",[0.33191684 0.20162219 0.13007045 0.33638972],79.83747100830078,4.801591873168945,100000.4453125,0.00834767147898674,0.050224754959344864,99999.7734375
"['Ca', 'Al', 'Si', 'O']",[0.32728496 0.19939142 0.12889363 0.34442917],80.83596801757812,4.886693954467773,100000.4296875,0.008597511798143387,0.05248535796999931,99999.78125
"['Ca', 'Al', 'Si', 'O']",[0.32245037 0.19690877 0.12760824 0.35303175],82.00456237792969,4.994043827056885,100000.4140625,0.008798949420452118,0.05452056601643562,99999.78125
"['Ca', 'Al', 'Si', 'O']",[0.31730166 0.19416909 0.12618665 0.3623418 ],83.48011779785156,5.135991096496582,100000.390625,0.008983027189970016,0.0563228502869606,99999.78125
"['Ca', 'Al', 'Si', 'O']",[0.31174043 0.19107956 0.12459554 0.37258366],85.41555786132812,5.313990592956543,100000.359375,0.009172655642032623,0.05773051083087921,99999.78125
"['Ca', 'Al', 'Si', 'O']",[0.30557176 0.18759745 0.12278651 0.38404346],88.13069915771484,5.566181659698486,100000.3203125,0.009441372007131577,0.058424126356840134,99999.78125
"['Ca', 'Al', 'Si', 'O']",[0.29857403 0.18369588 0.12070153 0.3970277 ],91.8390884399414,5.866649627685547,100000.265625,0.009702935814857483,0.05842268466949463,99999.78125
"['Ca', 'Al', 'Si', 'O']",[0.29052234 0.1793913  0.11829313 0.41179243],96.9134521484375,6.309579849243164,100000.1875,0.010028127580881119,0.05724644660949707,99999.78125
"['Ca', 'Al', 'Si', 'O']",[0.28131866 0.1747752  0.11555059 0.4283548 ],103.23677825927734,6.862447261810303,100000.09375,0.010350331664085388,0.05465458333492279,99999.7890625
"['Ca', 'Al', 'Si', 'O']",[0.27102554 0.16995922 0.11249169 0.44652286],110.27462768554688,7.404763698577881,99999.9921875,0.010533247143030167,0.050902318209409714,99999.7890625
"['Ca', 'Al', 'Si', 'O']",[0.25982565 0.16495033 0.1091652  0.4660581 ],118.0730209350586,8.026917457580566,99999.875,0.01052071899175644,0.04699575901031494,99999.7890625
"['Ca', 'Al', 'Si', 'O']",[0.2478612  0.15970461 0.10561327 0.48682028],126.20631408691406,9.035115242004395,99999.75,0.01040925458073616,0.043349478393793106,99999.7890625
"['Ca', 'Al', 'Si', 'O']",[0.2355317  0.1541867  0.1019133  0.50836766],134.37741088867188,10.840112686157227,99999.6328125,0.01020645722746849,0.039869025349617004,99999.78125
"['Ca', 'Al', 'Si', 'O']",[0.22291498 0.14815794 0.09808686 0.5308395 ],145.52525329589844,13.99509048461914,99999.4609375,0.010361827909946442,0.038356587290763855,99999.7890625
"['Ca', 'Al', 'Si', 'O']",[0.20989533 0.14101729 0.09417889 0.55490786],161.73687744140625,19.44945526123047,99999.21875,0.013402886688709259,0.0460471585392952,99999.796875
"['Ca', 'Al', 'Si', 'O']",[0.19685775 0.1331249  0.090297   0.5797197 ],171.49496459960938,21.460786819458008,99999.0703125,0.038187362253665924,0.0766088142991066,99999.90625
"['Ca', 'Al', 'Si', 'O']",[0.18738143 0.1296053  0.08785602 0.59515667],174.70382690429688,21.54326820373535,99999.0234375,0.07757488638162613,0.1072731614112854,100000.0703125
"['Ca', 'Al', 'Si', 'O']",[0.18352689 0.13249207 0.0878633  0.5961172 ],175.20333862304688,21.454187393188477,99999.015625,0.07957232743501663,0.10823386907577515,100000.0859375
"['Ca', 'Al', 'Si', 'O']",[0.18309474 0.13940665 0.08941123 0.58808684],174.296142578125,21.40128517150879,99999.03125,0.05275774747133255,0.08865880221128464,99999.96875
"['Ca', 'Al', 'Si', 'O']",[0.18394066 0.14835389 0.09157824 0.5761267 ],172.37887573242188,21.22890281677246,99999.0625,0.02800014242529869,0.06756781041622162,99999.859375
"['Ca', 'Al', 'Si', 'O']",[0.18504195 0.15823926 0.09391658 0.56280166],169.31167602539062,20.65582275390625,99999.109375,0.014662433415651321,0.05113774165511131,99999.8046875
"['Ca', 'Al', 'Si', 'O']",[0.18547158 0.16748661 0.09600184 0.55103934],165.50433349609375,19.675065994262695,99999.1640625,0.010664612054824829,0.04377814754843712,99999.7890625
"['Ca', 'Al', 'Si', 'O']",[0.18484539 0.1751022  0.09769212 0.5423597 ],162.1650390625,18.657882690429688,99999.2109375,0.0093923881649971,0.04237880930304527,99999.78125
"['Ca', 'Al', 'Si', 'O']",[0.18312141 0.18061413 0.09898341 0.53728044],160.46051025390625,18.050878524780273,99999.2421875,0.008914124220609665,0.04281944781541824,99999.78125
"['Ca', 'Al', 'Si', 'O']",[0.18044512 0.18400213 0.09991744 0.5356347 ],160.55917358398438,17.983869552612305,99999.234375,0.0088694728910923,0.04377445578575134,99999.78125
"['Ca', 'Al', 'Si', 'O']",[0.17700058 0.18536654 0.10053057 0.53710175],162.17263793945312,18.37801170349121,99999.2109375,0.009000644087791443,0.044745638966560364,99999.78125
"['Ca', 'Al', 'Si', 'O']",[0.17296995 0.18490446 0.1008599  0.5412651 ],164.92529296875,19.0512638092041,99999.171875,0.009305793792009354,0.04566563293337822,99999.78125
"['Ca', 'Al', 'Si', 'O']",[0.16856334 0.18297626 0.10095152 0.54750836],168.0380401611328,19.69512367248535,99999.125,0.009935762733221054,0.04686305671930313,99999.78125
"['Ca', 'Al', 'Si', 'O']",[0.16404165 0.1801776  0.10087442 0.5549057 ],170.8799591064453,20.203357696533203,99999.0859375,0.011032495647668839,0.04915274307131767,99999.7890625
"['Ca', 'Al', 'Si', 'O']",[0.15957002 0.17696542 0.10068268 0.5627812 ],173.2423553466797,20.477811813354492,99999.046875,0.013064626604318619,0.053480956703424454,99999.796875
"['Ca', 'Al', 'Si', 'O']",[0.15534355 0.17390823 0.10047328 0.57027435],175.0482177734375,20.560766220092773,99999.0234375,0.01672796905040741,0.05941120162606239,99999.8125
"['Ca', 'Al', 'Si', 'O']",[0.15157017 0.17169894 0.10038689 0.57634336],176.3876953125,20.50832748413086,99999.0,0.02200685814023018,0.06517133861780167,99999.8359375
"['Ca', 'Al', 'Si', 'O']",[0.14845158 0.17104866 0.1006009  0.57989836],177.23883056640625,20.4276065826416,99998.984375,0.026097264140844345,0.0689087063074112,99999.8515625
"['Ca', 'Al', 'Si', 'O']",[0.14607604 0.17230234 0.10122102 0.58040005],177.57440185546875,20.34868812561035,99998.984375,0.026423119008541107,0.06937279552221298,99999.8515625
"['Ca', 'Al', 'Si', 'O']",[0.14436546 0.17534325 0.10222415 0.5780666 ],177.4718475341797,20.284889221191406,99998.984375,0.023109856992959976,0.06684418022632599,99999.84375
"['Ca', 'Al', 'Si', 'O']",[0.14311032 0.17965494 0.10347971 0.5737545 ],177.0487060546875,20.222103118896484,99998.9921875,0.018449701368808746,0.06319865584373474,99999.8203125
"['Ca', 'Al', 'Si', 'O']",[0.14206485 0.18462782 0.10482381 0.56848294],176.435302734375,20.143354415893555,99999.0,0.014989692717790604,0.06001993268728256,99999.8046875
"['Ca', 'Al', 'Si', 'O']",[0.14195874 0.18509877 0.10494933 0.5679926 ],176.3778839111328,20.135486602783203,99999.0,0.014782685786485672,0.05978579446673393,99999.8046875
"['Ca', 'Al', 'Si', 'O']",[0.14185132 0.18553863 0.10506634 0.56754315],176.3262481689453,20.128070831298828,99999.0,0.014598913490772247,0.059585295617580414,99999.8046875
"['Ca', 'Al', 'Si', 'O']",[0.14174213 0.18594767 0.10517512 0.56713456],176.2802734375,20.120820999145508,99999.0,0.014438159763813019,0.05941910669207573,99999.8046875
"['Ca', 'Al', 'Si', 'O']",[0.14163049 0.18632552 0.10527582 0.56676763],176.24017333984375,20.113853454589844,99999.0,0.014294691383838654,0.0592784509062767,99999.8046875
